什么	shen me
着重	zhuo zhong
胸脯	xiong pu
会计	kuai ji
地处	di chu
行家	hang jia
调节	tiao jie
衣着	yi zhuo
空地	kong di
标识	biao zhi
队长	dui zhang
泄露	xie lou
淹没	yan mo
地势	di shi
平地	ping di
冲劲	chong jin
着力	zhuo li
阵地	zhen di
调解	tiao jie
师长	shi zhang
都市	du shi
长辈	zhang bei
供给	gong ji
场地	chang di
工地	gong di
了结	liao jie
绿林	lu lin
地盘	di pan
还手	huan shou
地形	di xing
牛仔	niu zai
组长	zu zhang
就地	jiu di
空调	kong tiao
坦率	tan shuai
长孙	zhang sun
地质	di zhi
陆地	lu di
薄薄	bao bao
酋长	qiu zhang
双重	shuang chong
境地	jing di
异地	yi di
实地	shi di
营地	ying di
宝藏	bao zang
田地	tian di
呜咽	wu ye
行长	hang zhang
重返	chong fan
藏族	zang zu
本着	ben zhe
京都	jing du
偿还	chang huan
遍地	bian di
社长	she zhang
外行	wai hang
着火	zhao huo
地域	di yu
屏息	bing xi
着迷	zhao mi
下地	xia di
禁地	jin di
差事	chai shi
调试	tiao shi
胳臂	ge bei
调皮	tiao pi
厦门	xia men
归还	gui huan
驻地	zhu di
墓地	mu di
乐队	yue dui
出没	chu mo
县长	xian zhang
塞外	sai wai
长者	zhang zhe
恐吓	kong he
乐器	yue qi
暖和	nuan huo
长子	zhang zi
山地	shan di
包扎	bao za
重叠	chong die
角逐	jue zhu
地头	di tou
地主	di zhu
科长	ke zhang
重地	zhong di
地窖	di jiao
柏林	bo lin
曝光	bao guang
处长	chu zhang
地牢	di lao
出差	chu chai
亲家	qing jia
交还	jiao huan
咀嚼	ju jue
高地	gao di
乐曲	yue qu
地段	di duan
反省	fan xing
地名	di ming
学长	xue zhang
地铁	di tie
随地	sui di
人参	ren shen
重围	chong wei
排行	pai hang
还击	huan ji
差遣	chai qian
朝夕	zhao xi
差劲	cha jin
行情	hang qing
内行	na hang
萝卜	luo bo
弹性	tan xing
在行	zai hang
还礼	huan li
长成	zhang cheng
隐没	yin mo
后劲	hou jin
村长	cun zhang
末了	mo liao
重演	chong yan
憎恶	zeng wu
首长	shou zhang
知了	zhi liao
班长	ban zhang
长进	zhang jin
调教	tiao jiao
星宿	xing xiu
调和	tiao he
湖泊	hu po
执著	zhi zhuo
着陆	zhuo lu
官差	guan chai
圣地	sheng di
地洞	di dong
生还	sheng huan
吞没	tun mo
族长	zu zhang
绿地	lv di
当差	dang chai
了却	liao que
农行	nong hang
直率	zhi shuai
调戏	tiao xi
表率	biao shuai
荒地	huang di
传记	zhuan ji
轻率	qing shuai
重振	chong zhen
助长	chu zhang
绝地	jue di
沙地	sha di
盆地	pen di
弹奏	tan zou
腹地	fu di
血泊	xue po
爪子	zhua zi
连长	lian zhang
配给	pei ji
站长	zhan zhang
野地	ye di
畜牧	xu mu
退还	tui huan
坠地	zhui di
慰藉	wei jie
胜地	sheng di
都城	du cheng
警长	jing zhang
躯壳	qu qiao
见地	jian di
钦差	qin chai
扫地	sao di
殷红	yan hong
脖颈	bo geng
领地	ling di
种地	zhong di
朝霞	zhao xia
解数	xie shu
今朝	jin zhao
地雷	di lei
用劲	yong jin
称职	chen zhi
地产	di chan
恫吓	dong he
调养	tiao yang
游说	you shui
还原	huan yuan
沉没	chen mo
调剂	tiao ji
着凉	zhao liang
重温	chong wen
的士	di shi
都督	du du
弹簧	tan huang
地税	di shui
朝露	zhao lu
威吓	wei he
费劲	fei jin
重阳	chong yang
烧着	shao zhao
乐团	yue tuan
商贾	shang gu
劲头	jin tou
极地	ji di
厅长	ting zhang
尊长	zun zhang
匀称	yun chen
称心	chen xin
调制	tiao zhi
统率	tong shuai
没落	mo luo
乐章	yue zhang
朝气	zhao qi
还债	huan zhai
产地	chan di
露脸	lou lian
着装	zhuo zhuang
鼓乐	gu yue
草率	cao shuai
要塞	yao sai
埋没	mai mo
质地	zhi di
校对	jiao dui
改行	gai hang
喳喳	zha zha
营长	ying zhang
搅和	jiao huo
行当	hang dang
地皮	di pi
交差	jiao chai
园地	yuan di
调配	tiao pei
着意	zhuo yi
排长	pai zhang
地利	di li
奉还	feng huan
烹调	peng tiao
里弄	li long
地表	di biao
率直	shuai zhi
自传	zi zhuan
蛤蟆	ha ma
声乐	sheng yue
地摊	di tan
好恶	hao wu
地穴	di xue
巷道	hang dao
校正	jiao zheng
乡长	xiang zhang
调停	tiao ting
调理	tiao li
定都	ding du
镇长	zhen zhang
古都	gu du
干劲	gan jin
长女	zhang nv
弹射	tan she
宝地	bao di
抹布	ma bu
说客	shui ke
滋长	zi zhang
军长	jun zhang
刹车	sha che
长兄	zhang xiong
弹劾	tan he
行行	hang hang
失调	shi tiao
番茄	fan qie
福地	fu di
生地	sheng di
支行	zhi hang
乐谱	yue pu
午觉	wu jiao
模子	mu zi
司长	si zhang
还乡	huan xiang
地心	di xin
辱没	ru mo
地界	di jie
配角	pei jue
瓶塞	ping sai
住地	zhu di
要地	yao di
补给	bu ji
坟地	fen di
商行	shang hang
积攒	ji zan
调匀	tiao yun
洼地	wa di
终了	zhong liao
桔子	ju zi
带劲	dai jin
着魔	zhao mo
旱地	han di
地价	di jia
重合	chong he
地基	di ji
还本	huan ben
地层	di ceng
茄子	qie zi
地痞	di pi
鼓劲	gu jin
地铺	di pu
上调	shang tiao
邮差	you chai
菜地	cai di
调味	tiao wei
本行	ben hang
疟疾	nue ji
乐府	yue fu
财会	cai kuai
着慌	zhao huang
湮没	yan mo
着色	zhuo se
列传	lie zhuan
巧劲	qiao jin
长势	zhang shi
率真	shuai zhen
弹力	tan li
地貌	di mao
复辟	fu bi
正传	zheng zhuan
哀乐	ai yue
槟榔	bing lang
曾祖	zeng zu
奏乐	zou yue
旅长	lv zhang
发还	fa huan
丑角	chou jue
调羹	tiao geng
还愿	huan yuan
来劲	lai jin
地保	di bao
白地	bai di
失地	shi di
信差	shen chai
消长	xiao zhang
边塞	bian sai
曾孙	zeng sun
猪圈	zhu juan
矿藏	kuang zang
旧地	jiu di
给养	ji yang
股长	gu zhang
洋行	yang hang
弄堂	long tang
地壳	di qiao
露头	lou tou
揣度	chuai duo
奇数	ji shu
行规	hang gui
着笔	zhuo bi
猜度	cai duo
地堡	di bao
龟裂	jun lie
地支	di zhi
结扎	jie za
迁都	qian du
调价	tiao jia
哨卡	shao qia
弹弹	tan tan
行话	hang hua
行会	hang hui
属地	shu di
猪仔	zhu zai
还嘴	huan zui
松劲	song jin
膀胱	pang guang
屏气	bing qi
地脉	di mai
地瓜	di gua
器乐	qi yue
建都	jian du
发卡	fa qia
蕴藉	yun jie
纤夫	qian fu
青藏	qing zang
塞子	sai zi
蚌埠	beng bu
调料	tiao liao
割地	ge di
薄片	bao pian
重婚	chong hun
薄纸	bao zhi
没顶	mo ding
还价	huan jia
评弹	ping tan
管乐	guan yue
甲壳	jia qiao
旦角	dan jue
军乐	jun yue
私了	si liao
名角	ming jue
海参	hai shen
配乐	pei yue
得劲	de jin
活塞	huo sai
切削	qie xiao
乐舞	yue wu
行间	hang jian
捆扎	kun za
接地	jie di
故地	gu di
调频	tiao bin
小传	xiao zhuan
校勘	jiao kan
露馅	lou xian
重洋	chong yang
懂行	dong hang
索还	suo huan
行市	hang shi
淤塞	yu se
耙子	pa zi
拓本	ta ben
耳塞	er sai
诈降	zha xiang
弹词	tan ci
锁钥	suo yue
美差	mei chai
卡子	qia zi
校准	jiao zhun
咖喱	ga li
牛劲	niu jin
畜产	xu chan
洗练	xi lian
拓片	ta pian
软和	ruan huo
调谐	tiao xie
劝降	quan xiang
验血	yan xie
校订	jiao ding
卖劲	mai jin
找还	zhao huan
栓塞	shuan se
地磁	di ci
行货	hang huo
闯劲	chuang jin
重孙	chong sun
色子	shai zi
重版	chong ban
传略	zhuan lve
陷没	xian mo
调幅	tiao fu
重霄	chong xiao
露怯	lou qie
露底	lou di
荸荠	bi qi
行距	hang ju
钉耙	ding pa
乐感	yue gan
卡壳	qia ke
钻劲	zuan jin
套色	tao shai
戆直	zhuang zhi
审校	shen jiao
诱降	you xiang
边卡	bian qia
泄劲	xie jin
择菜	zhai cai
调休	tiao xiu
奇偶	ji ou
东莞	dong guan
占地	zhan di
重组	chong zu
等地	deng di
用地	yong di
行风	hang feng
之地	zhi di
攒机	cuan ji
反弹	fan tan
分行	fen hang
超薄	chao bao
央行	yang hang
不着	bu zhao
返还	fan huan
就得	jiu dei
弹出	tan chu
端的	duan di
先得	xian dei
标的	biao di
裹扎	guo za
国乐	guo yue
关卡	guan qia
公差	gong chai
肥差	fei chai
店长	dian zhang
了了	liao liao
下调	xia tiao
重回	chong hui
两地	liang di
的哥	di ge
公仔	gong zai
多重	duo chong
重启	chong qi
建行	jian hang
还你	huan ni
重现	chong xian
工行	gong hang
得见	dei jian
霓裳	ni chang
各行	ge hang
换行	huan hang
可调	ke tiao
重生	chong sheng
得有	dei you
我行	wo hang
人行	ren hang
了无	liao wu
还款	huan kuan
此地	ci di
调高	tiao gao
褪色	tui se
乐坛	yue tan
重塑	chong su
得快	dei kuai
要还	yao huan
长出	zhang chu
总得	zong dei
参差	cen ci
还我	huan wo
秘鲁	bi lu
还清	huan qing
水浒	shui hu
得要	dei yao
非得	fei dei
离地	li di
你得	ni dei
满地	man di
他得	ta dei
馆长	guan zhang
调低	tiao di
了得	liao de
老挝	lao wo
每行	mei hang
罚没	fa mo
州长	zhou zhang
重来	chong lai
微调	wei tiao
重播	chong bo
长满	zhang man
婀娜	e nuo
重修	chong xiu
总行	zong hang
不还	bu huan
某地	mou di
年长	nian zhang
雪地	xue di
重装	chong zhuang
磅礴	pang bo
圈养	juan yang
转行	zhuan hang
薄纱	bao sha
卡住	qia zhu
还钱	huan qian
呢喃	ni nan
蹊跷	qi qiao
交行	jiao hang
重写	chong xie
狗仔	gou zai
重整	chong zheng
塞上	sai shang
重发	chong fa
道长	dao zhang
弹跳	tan tao
较劲	jiao jin
台长	tai zhang
这行	zhe hang
率队	shuai dui
咋舌	ze she
了断	liao duan
了然	liao ran
藏獒	zang ao
重提	chong ti
攒钱	zan qian
这得	zhe dei
重获	chong huo
崆峒	kong tong
暗地	an di
跪地	gui di
乐迷	yue mi
重设	chong she
重读	chong du
几行	ji hang
卡在	qia zai
没入	mo ru
塞给	sai gei
弦乐	xian yue
行数	hang shu
入行	ru hang
盛满	cheng man
调好	tiao hao
道行	dao heng
重放	chong fang
很薄	hen bao
署长	shu zhang
率性	shuai xing
塞入	sai ru
哇塞	wa sai
行都	xing du
乐手	yue shou
弹唱	tan chang
调笑	tiao xiao
藤蔓	teng wan
塞北	sai bei
调侃	tiao kan
执拗	zhi niu
掺和	chan huo
设卡	she qia
调情	tiao qing
长得	zhang de
懒觉	lan jiao
率部	shuai bu
藏文	zang wen
孱弱	chan ruo
重聚	chong ju
伽马	ga ma
调速	tiao su
勒紧	lei jin
长胖	zhang pang
送还	song huan
内传	na zhuan
哪吒	ne zha
扒开	ba kai
跨行	kua hang
差人	chai ren
地宫	di gong
重唱	chong chang
扁舟	pian zhou
苦差	gu chai
乱弹	luan tan
空行	kong hang
趔趄	lie qie
还书	huan shu
还口	huan kou
新传	xin zhuan
浸没	jin mo
省亲	xing qin
还俗	huan su
羊圈	xiang juan
绑扎	bang za
别传	bie zhuan
得空	dei kong
小曾	xiao zeng
扎啤	zha pi
巨贾	ju gu
袅娜	niao nuo
咋呼	zha hu
着忙	zhao mang
盛饭	cheng fan
归降	gui xiang
露富	lou fu
落枕	lao zhen
重码	chong ma
系在	ji zai
大觉	da jiao
怎地	zen di
不薄	bu bao
了账	liao zhang
匝地	za di
地漏	di lou
面的	mian di
一朝	yi zhao
打的	da di
薄的	bao de
的姐	di jie
中行	zhong hang
易地	yi di
一觉	yi jiao
战地	zhan di
有劲	you jin
调大	tiao da
公了	gong liao
拖地	tuo di
险地	xian di
伏地	fu di
贵地	gui di
贾人	gu ren
和了	hu le
地龙	di long
凹地	ao di
不露	bu lu
在地	zai di
倒地	dao di
掴了	guo le
海地	hai di
的卢	di lu
一宿	yi xiu
着了	zhao le
何地	he di
给付	ji fu
香槟	xiang bin
剥皮	bao pi
后传	hou zhuan
露着	lou zhe
扒光	ba guang
不了	bu liao
女红	nv gong
禅让	shan rang
抹脸	ma lian
弹压	tan ya
藏胞	zang bao
半宿	ban xiu
校阅	jiao yue
调准	tiao zhun
拉纤	la qian
蛮劲	man jin
露丑	lou chou
调房	tiao fang
炮烙	pao luo
自曝	zi bao
辟邪	bi xie
忖度	cun duo
重逢	chong feng
该着	gai zhao
还贷	huan dai
靓仔	liang zai
折本	she ben
尉迟	yu chi
我得	wo dei
没劲	mei jin
校注	jiao zhu
左传	zuo zhuan
两行	liang hang
起劲	qi jin
弹琴	tan qin
好觉	hao jiao
重名	chong ming
塞车	sai che
庭长	ting zhang
重打	chong da
重置	chong zhi
胶着	jiao zhuo
阿谀	e yu
降妖	xiang yao
降魔	xiang mo
重排	chong pai
长眼	zhang yan
重做	chong zuo
弹起	tan qi
叔伯	shu bai
调下	tiao xia
重试	chong shi
调小	tiao xiao
着墨	zhuo mo
校验	jiao yan
狠劲	hen jin
招降	zhao xiang
乐师	yue shi
韧劲	ren jin
封禅	feng shan
降将	xiang jiang
吁请	yu qing
重述	chong shu
降服	xiang fu
单于	chan yu
差使	chai shi
畜养	xu yang
长幼	zhang you
靓妆	jing zhuang
讨还	tao huan
塞责	se ze
扒拉	ba la
调弄	tiao nong
省劲	sheng jin
抄没	chao mo
毛呢	ma ni
编校	bian jiao
废都	fei du
省察	xing cha
行伍	hang wu
劲道	jin dao
稽首	qi shou
重审	chong shen
还账	huan zhang
调治	tiao zhi
调级	tiao ji
幽咽	you ye
还阳	huan yang
校场	jiao chang
扒车	ba che
勘校	kan jiao
薄被	bao bei
隔行	ge hang
折辱	she ru
四重	si chong
降伏	xiang fu
叨扰	tao rao
失着	shi zhao
贾祸	gu huo
卖解	mai xie
塞规	sai gui
塞尺	sai chi
塞进	sai jin
塞满	sai man
塞在	sai zai
塞族	sai zu
没还	mei huan
降龙	xiang long
刨除	pao chu
尿泡	sui pao
重会	chong hui
咯血	ka xue
整行	zheng hang
长疮	zhang chuang
所恶	suo wu
长膘	zhang biao
南无	na mo
露乳	lu ru
还她	huan jie
还他	huan ta
卡死	qia si
伎俩	ji liang
帧数	zhen shu
鼻塞	bi se
露白	lou bai
露相	lou xiang
重连	chong lian
攒足	zan zu
鸡肋	ji lei
哦耶	o ye
番禺	pan ou
模具	mu ju
莫邪	mo ye
牛圈	niu juan
马圈	ma juan
马仔	ma zai
女仔	nv zai
胖仔	pang zai
两重	liang chong
三行	san hang
三重	san chong
三藏	san zang
联行	lian hang
灵长	ling zhang
宽行	kuan hang
矿长	kuang zhang
狂劲	kuang jin
拼劲	pin jin
兼差	jian chai
几重	ji chong
九重	jiu chong
长我	zhang wo
褪至	tui zhi
姓曾	xing zeng
姓查	xing zha
姓覃	xing qin
姓单	xing shan
姓解	xing xie
姓仇	xing qiu
姓都	xing du
姓乐	xing yue
姓朴	xing piao
老曾	lao zeng
褪到	tui dao
扒下	ba xia
均系	jun ji
扒掉	ba diao
酒劲	jiu jin
老朴	lao piao
小朴	xiao piao
身着	shen zhuo
出塞	chu sai
对称	dui chen
吹弹	chui tan
乳臭	ru xiu
点校	dian jiao
校点	jiao dian
亲率	qin shuai
评传	ping zhuan
吓着	xia zhao
便溺	bian niao
前传	qian zhuan
全行	quan hang
全传	quan zhuan
区长	qu zhang
背地	bei di
刨土	pao tu
刨根	pao gen
刨坑	pao keng
路卡	lu qia
壳牌	qiao pai
薄板	bao ban
薄冰	bao bing
薄地	bo di
般若	bo re
屏住	bing zhu
扒皮	ba pi
长男	zhang nan
长肉	zhang rou
招行	zhao hang
朝日	zhao ri
薄饼	bao bing
薄层	bao ceng
薄膜	bao mo
曝晒	pu shai
参茸	shen rong
双行	shuang hang
竖行	shu hang
深省	shen xing
省行	sheng hang
投行	tou hang
跳行	tao hang
调成	tiao cheng
调酒	tiao jiu
调色	tiao se
调序	tiao xu
调音	tiao yin
调增	tiao zeng
听差	ting chai
财长	cai zhang
测度	ce duo
粗率	cu shuai
相称	xiang chen
催还	cui huan
藏北	zang bei
藏蓝	zang lan
藏民	zang min
藏戏	zang xi
藏学	zang xue
藏语	zang yu
藏药	zang yao
藏医	zang yi
增长	zeng zhang
缓缓地	huan huan de
无耻地	wu chi de
露出来	lu chu lai
委员长	wei yuan zhang
受不了	shou bu liao
秘书长	mi shu zhang
了不起	liao bu qi
董事长	dong shi zhang
增长率	zeng zhang lv
目的地	mu di di
大不了	da bu liao
太行山	tai hang shan
参谋长	can mou zhang
检察长	jian cha zhang
少不了	shao bu liao
交响乐	jiao xiang yue
暗暗地	an an de
大大地	da da de
根据地	gen ju di
人行道	ren xing dao
受得了	shou de liao
了不得	liao bu de
血淋淋	xie lin lin
一个劲	yi ge jin
殖民地	zhi min di
地平线	di ping xian
白兰地	bai lan di
地中海	di zhong hai
理事长	li shi zhang
沼泽地	zhao shi di
士大夫	shi da fu
集散地	ji san di
黄澄澄	huang deng deng
背地里	bei di li
爵士乐	jue shi yue
发祥地	fa xiang di
护士长	hu shi zhang
三人行	san ren xing
摇滚乐	yao gun yue
开小差	kai xiao chai
处女地	chu nv di
盐碱地	yan jian di
露马脚	lou ma jiao
胳肢窝	ga zhi wo
迫击炮	pai ji pao
司务长	si wu zhang
差旅费	chai lv fei
莲花落	lian hua lao
西洋参	xi yang shen
两重性	liang chong xing
灵长目	ling zhang mu
自留地	zi liu di
卡脖子	qia bo zi
长一智	zhang yi zhi
室内乐	shi na yue
地动仪	di dong yi
二重奏	er chong zou
旅游地	lv you di
附着物	fu zhuo wu
火花塞	huo hua sai
于死地	yu si di
数得着	shu de zhao
藏红花	zang hong hua
和稀泥	huo xi ni
纪传体	ji zhuan ben
轴对称	zhou dui chen
刀削面	dao xiao mian
洋地黄	yang di huang
方面的	fang mian de
下面的	xia mian de
全面的	quan mian de
证明了	zheng ming le
开户行	kai hu hang
里面的	li mian de
露出了	lou chu le
曾庆红	zeng qing hong
拍卖行	pai mai hang
任我行	ren wo xing
用不了	yong bu liao
拗不过	niu bu guo
李昌镐	li chang hao
阿房宫	e pang gong
热得快	re de kuai
增长的	zeng zhang de
相似的	xiang si de
说明了	shuo ming le
增长点	zeng zhang dian
不得了	bu de liao
忘不了	wang bu liao
荨麻疹	xun ma zhen
看得见	kan de jian
副所长	fu suo zhang
调色板	tiao se ban
地级市	di ji shi
免不了	mian bu liao
集中地	ji zhong di
负增长	fu zeng zhang
管不了	guan bu liao
都江堰	du jiang yan
发源地	fa yuan di
打工仔	da gong zai
过不了	guo bu liao
进不了	jin bu liao
重点校	zhong dian xiao
水浒传	shui hu zhuan
燃烧着	ran shao zhe
吃不了	chi bu liao
重命名	chong ming ming
曾志伟	zeng zhi wei
保留地	bao liu di
听得见	ting de jian
死不了	si bu liao
走不了	zou bu liao
曾国藩	zeng guo fan
干不了	gan bu liao
古惑仔	gu huo zai
弹钢琴	tan gang qin
算不了	suan bu liao
成不了	cheng bu liao
角斗士	jue dou shi
顾不了	gu bu liao
都柏林	du bo lin
算得了	suan de liao
四重奏	si chong zou
趵突泉	bao tu quan
曾宝仪	zeng bao yi
灵长类	ling zhang lei
眯着眼	mi zhe yan
水泥地	shui ni di
给水管	ji shui guan
三重奏	san chong zou
背着手	bei zhe shou
系鞋带	ji xie dai
唐三藏	tang san zang
太子参	tai zi shen
鸭绿江	ya lu jiang
仡佬族	ge lao zu
丽人行	li ren xing
监狱长	jian yu zhang
野山参	ye shan shen
够得着	gou de zhao
直接地	zhi jie de
山大王	shan dai wang
后面的	hou mian de
上面的	shang mian de
前面的	qian mian de
外面的	wai mian de
第一行	di yi hang
露一手	lou yi shou
容易地	rong yi de
轻易地	qing yi de
重重地	zhong zhong de
积极地	ji ji de
比不了	bi bu liao
帮不了	bang bu liao
高高地	gao gao de
三角地	san jiao di
切实地	qie shi de
间接地	jian jie de
细心地	xi xin de
开阔地	kai kuo di
平等地	ping deng de
一股劲	yi gu jin
满满地	man man de
落不是	lao bu shi
看不了	kan bu liao
片面的	pian mian de
惊恐地	jing kong de
衷心地	zhong xin de
发重了	fa chong le
伤心地	shang xin de
发案地	fa an di
极大地	ji da de
惊异地	jing yi de
开心地	kai xin de
类似的	lei si de
热心地	re xin de
甲壳虫	jia ke chong
弹吉他	tan ji ta
镜泊湖	jing po hu
命令行	ming ling hang
柏拉图	bo la tu
六安市	lu an shi
可的松	ke di song
软木塞	ruan mu sai
审判长	shen pan zhang
乐清市	yue qing shi
列车长	lie che zhang
白蛇传	bai she zhuan
加把劲	jia ba jin
用得着	yong de zhao
重定向	chong ding xiang
查良镛	zha liang yong
削铅笔	xiao qian bi
犯得着	fan de zhao
露头角	lu tou jiao
藏青色	zang qing se
增长到	zeng zhang dao
增长量	zeng zhang liang
瞪着眼	deng zhe yan
拉着手	la zhe shou
铆劲儿	mao jin er
真棒哦	zhen bang o
都匀市	du yun shi
塞过来	sai guo lai
曾追求	ceng dui qiu
又琢磨	you zuo mo
粘乎乎	nian hu hu
草草地	cao cao de
阿其所好	e qi suo hao
拔山扛鼎	ba shan gang ding
一模一样	yi mu yi yang
阿弥陀佛	e mi tuo fo
惊天动地	jing tian dong di
巴塞罗那	ba sai luo na
没完没了	mei wan mei liao
直截了当	zhi jie liao dang
因地制宜	yin di zhi yi
谢天谢地	xie tian xie di
装模作样	zhuang mu zuo yang
一个劲儿	yi ge jin er
有朝一日	you zhao yi ri
了如指掌	liao ru zhi zhang
天翻地覆	tian fan di fu
天经地义	tian jing di yi
神出鬼没	shen chu gui mo
五体投地	wu ben tou di
死心塌地	si xin ta di
不省人事	bu xing ren shi
喜怒哀乐	xi nu ai le
天罗地网	tian luo di wang
无地自容	wu di zi rong
欢天喜地	huan tian xi di
一败涂地	yi bai tu di
天旋地转	tian xuan di zhuan
全军覆没	quan jun fu mo
想着想着	xiang zhe xiang zhe
翻天覆地	fan tian fu di
顶天立地	ding tian li di
深恶痛绝	shen wu tong jue
出人头地	chu ren tou di
不见经传	bu jian jing zhuan
拔地而起	ba di er qi
我行我素	wo xing wo su
的的确确	di di que que
一了百了	yi liao bai liao
下不了台	xia bu liao tai
大模大样	da mu da yang
天长地久	tian chang di jiu
以牙还牙	yi ya huan ya
含情脉脉	han qing mo mo
天昏地暗	tian hun di an
半殖民地	ban zhi min di
削铁如泥	xiao tie ru ni
朝思暮想	zhao si mu xiang
天南地北	tian nan di bei
铺天盖地	pu tian gai di
席地而坐	xi di er zuo
不着边际	bu zhuo bian ji
波罗的海	bo luo di hai
地地道道	di di dao dao
土生土长	tu sheng tu zhang
乳臭未干	ru xiu wei gan
审时度势	shen shi duo shi
自怨自艾	zi yuan zi yi
天寒地冻	tian han di dong
设身处地	she shen chu di
铤而走险	ting er zou xian
花天酒地	hua tian jiu di
重蹈覆辙	chong dao fu zhe
天崩地裂	tian beng di lie
崭露头角	chan lu tou jiao
天造地设	tian zao di she
众矢之的	zhong shi zhi di
发人深省	fa ren shen xing
重重叠叠	chong chong die die
怪模怪样	guai mu guai yang
情非得已	qing fei de yi
自给自足	zi ji zi zu
佛罗里达	fo luo li da
鬼使神差	gui shi shen chai
不露声色	bu lu sheng se
不得要领	bu de yao ling
呼天抢地	hu tian cheng di
大腹便便	da fu pian pian
重见天日	chong jian tian ri
一丘之貉	yi qiu zhi he
有的放矢	you di fang shi
天诛地灭	tian zhu di mie
开天辟地	kai tian pi di
返老还童	fan lao huan tong
地动山摇	di dong shan yao
各行其是	ge xing qi shi
昏天黑地	hun tian hei di
二十八宿	er shi ba xiu
虚与委蛇	xu yu wei yi
山崩地裂	shan beng di lie
谈天说地	tan tian shuo di
人地生疏	ren di sheng shu
金蝉脱壳	jin chan tuo qiao
上天入地	shang tian ru di
立地成佛	li di cheng fo
朝朝暮暮	zhao zhao mu mu
脉脉含情	mo mo han qing
风调雨顺	feng tiao yu shun
无的放矢	wu di fang shi
旧地重游	jiu di chong you
地老天荒	di lao tian huang
肝脑涂地	gan nao tu di
朝不保夕	zhao bu bao xi
